Dataset,Human Samples,Relative Error
implicit_hate,100,0.36130282438292977
implicit_hate,200,0.2509639373737672
implicit_hate,300,0.2108650336687306
implicit_hate,400,0.19548791725278486
implicit_hate,500,0.17427669211268518
implicit_hate,600,0.16549910255902214
implicit_hate,700,0.14927552836371533
implicit_hate,800,0.13901287261639622
implicit_hate,900,0.13890749090851798
implicit_hate,1000,0.13534020729856677
implicit_hate,1100,0.12647668085247082
implicit_hate,1200,0.12230704226825918
implicit_hate,1300,0.12165208048012094
implicit_hate,1400,0.1244707234055651
implicit_hate,1500,0.11618645798340249
implicit_hate,1600,0.11218125308645618
implicit_hate,1700,0.11383314010897064
implicit_hate,1800,0.10839337792528164
implicit_hate,1900,0.11358499012346464
implicit_hate,2000,0.10730992764868544
implicit_hate,2100,0.10927917302181445
implicit_hate,2200,0.1065499195028133
implicit_hate,2300,0.10701967670253222
implicit_hate,2400,0.10588950881101314
implicit_hate,2500,0.10693556420537313
implicit_hate,2600,0.10244023004370688
implicit_hate,2700,0.10321164460395227
implicit_hate,2800,0.1039988651381961
implicit_hate,2900,0.10308179883863014
implicit_hate,3000,0.10132167629926818
implicit_hate,3100,0.10018994519617357
implicit_hate,3200,0.09946269821720093
implicit_hate,3300,0.10263110597168852
implicit_hate,3400,0.0978065462099673
implicit_hate,3500,0.09967918620918328
implicit_hate,3600,0.0963117695571168
implicit_hate,3700,0.10165384286023693
implicit_hate,3800,0.09932716080686384
implicit_hate,3900,0.09969528414298401
implicit_hate,4000,0.09740837099135143
implicit_hate,4100,0.0960330238590066
implicit_hate,4200,0.09453506930562214
implicit_hate,4300,0.09486311707306887
implicit_hate,4400,0.09323646013417577
implicit_hate,4500,0.0959123309005646
implicit_hate,4600,0.09247940824331369
implicit_hate,4700,0.09201026995634551
implicit_hate,4800,0.09538178976065056
implicit_hate,4900,0.0929621557388329
implicit_hate,5000,0.09535726045623237
implicit_hate,5100,0.09164196626600651
implicit_hate,5200,0.0916234181955703
implicit_hate,5300,0.09282558328204091
implicit_hate,5400,0.0935509926981343
implicit_hate,5500,0.09183250574122029
implicit_hate,5600,0.09002570665573896
implicit_hate,5700,0.09008317490674493
implicit_hate,5800,0.08989645802715464
implicit_hate,5900,0.08936994467387205
implicit_hate,6000,0.08912795616947912
implicit_hate,6100,0.0907795643745628
implicit_hate,6200,0.08931587689673962
implicit_hate,6300,0.09093654869102452
