Dataset,Human Samples,Relative Error
global_warming,100,0.7466796319373781
global_warming,200,0.4211002368049687
global_warming,300,0.29799881417331153
global_warming,400,0.26342937498844415
global_warming,500,0.2265867715184588
global_warming,600,0.20934666112007055
global_warming,700,0.19521152983916154
global_warming,800,0.1824700332207549
global_warming,900,0.16415901468444313
global_warming,1000,0.15784791587704156
global_warming,1100,0.15430857253726607
global_warming,1200,0.13842195437541596
global_warming,1300,0.1428868893527084
global_warming,1400,0.12745005637512163
global_warming,1500,0.13209494536014746
global_warming,1600,0.12326493829178203
global_warming,1700,0.12434664644653828
global_warming,1800,0.11710649574161543
global_warming,1900,0.11081809865815508
global_warming,2000,0.11278202379620936
global_warming,2100,0.10879989163792414
global_warming,2200,0.10171127478575225
