Dataset,Human Samples,Relative Error
implicit_hate,100,0.15610443941957658
implicit_hate,200,0.11685873130491851
implicit_hate,300,0.09587615835369025
implicit_hate,400,0.08995926502987596
implicit_hate,500,0.07139522310046191
implicit_hate,600,0.06464799192329183
implicit_hate,700,0.06384435377359504
implicit_hate,800,0.06770288682574818
implicit_hate,900,0.056764946950811454
implicit_hate,1000,0.06396720850900814
implicit_hate,1100,0.05236092082892828
implicit_hate,1200,0.05028527211414409
implicit_hate,1300,0.047261931664169844
implicit_hate,1400,0.04701726248451274
implicit_hate,1500,0.04547444727825078
implicit_hate,1600,0.04280371397240317
implicit_hate,1700,0.043893417273107076
implicit_hate,1800,0.039113690048986856
implicit_hate,1900,0.04182882459598523
implicit_hate,2000,0.03780327930438358
implicit_hate,2100,0.034655736375129455
implicit_hate,2200,0.035923299909654434
implicit_hate,2300,0.03832373044397264
implicit_hate,2400,0.03809629286974774
implicit_hate,2500,0.031164263523904258
implicit_hate,2600,0.03381961258816266
implicit_hate,2700,0.03353144580259901
implicit_hate,2800,0.02671203660687547
implicit_hate,2900,0.02958588803877324
implicit_hate,3000,0.02924458369525211
implicit_hate,3100,0.030915612426134168
implicit_hate,3200,0.028057095827617028
implicit_hate,3300,0.03172845454494346
implicit_hate,3400,0.029235969326028094
implicit_hate,3500,0.030692557949010525
implicit_hate,3600,0.029600962667531205
implicit_hate,3700,0.02966794762776771
implicit_hate,3800,0.029106162327866097
implicit_hate,3900,0.027215886097772337
implicit_hate,4000,0.02794379937097741
implicit_hate,4100,0.02476900808770067
implicit_hate,4200,0.026609724657128787
implicit_hate,4300,0.02682621020609001
implicit_hate,4400,0.02882739794692547
implicit_hate,4500,0.026396733905734295
implicit_hate,4600,0.02537652480764221
implicit_hate,4700,0.02566540399957728
implicit_hate,4800,0.027679158393102605
implicit_hate,4900,0.021348761984466946
implicit_hate,5000,0.022505873379755906
implicit_hate,5100,0.0247197984153835
implicit_hate,5200,0.0299249862451933
implicit_hate,5300,0.025873670801986833
implicit_hate,5400,0.024120624186202633
implicit_hate,5500,0.023523950681817955
implicit_hate,5600,0.020630340371267465
implicit_hate,5700,0.021028876246491746
implicit_hate,5800,0.024705449451496074
implicit_hate,5900,0.025580084354120024
implicit_hate,6000,0.02363133033110031
implicit_hate,6100,0.01988037450464319
implicit_hate,6200,0.021631649888281975
implicit_hate,6300,0.023539287259684794
