Dataset,Human Samples,Relative Error
helmet,100,1.0545901998614973
helmet,200,0.6818485321650847
helmet,300,0.5704767792936316
helmet,400,0.499145083907183
helmet,500,0.4674272183675097
helmet,600,0.40731952300304686
helmet,700,0.38955534689720467
helmet,800,0.3555490669847374
helmet,900,0.3502829235298633
helmet,1000,0.321050461008356
helmet,1100,0.3009466226249669
helmet,1200,0.30874604211737616
helmet,1300,0.27913970971783636
helmet,1400,0.2734570526889952
helmet,1500,0.26337703229919496
helmet,1600,0.26293968753443236
helmet,1700,0.2528122210535668
helmet,1800,0.2424401520298207
helmet,1900,0.24162286221495588
helmet,2000,0.23024943063293424
helmet,2100,0.22312635921262894
helmet,2200,0.21873726309941402
helmet,2300,0.20881794454847674
helmet,2400,0.20902683511840883
helmet,2500,0.20994630309760898
helmet,2600,0.20670215017556767
helmet,2700,0.19126716096389382
helmet,2800,0.19438677218739786
helmet,2900,0.1897359919964844
helmet,3000,0.18579007679196388
helmet,3100,0.1879730540411414
helmet,3200,0.1753417584810663
helmet,3300,0.18270303598417492
helmet,3400,0.1842552495952902
helmet,3500,0.17081063758485796
helmet,3600,0.17128848067354133
helmet,3700,0.16629961075085226
helmet,3800,0.16670697309225238
helmet,3900,0.1607999623207351
helmet,4000,0.16392909257785765
helmet,4100,0.15853326684263294
helmet,4200,0.15781274628364714
helmet,4300,0.15415181747768977
helmet,4400,0.16054518464702486
helmet,4500,0.15155343407211413
helmet,4600,0.1478914820942178
helmet,4700,0.14932438473146067
helmet,4800,0.14690687070977484
helmet,4900,0.14616440146476561
helmet,5000,0.14654628514245105
helmet,5100,0.1422550378330888
helmet,5200,0.142726421663931
helmet,5300,0.1374034269512403
helmet,5400,0.13798303729950145
helmet,5500,0.13820504870017308
helmet,5600,0.13723651991274438
helmet,5700,0.13785860787631396
helmet,5800,0.1393184416767746
helmet,5900,0.12766993108833702
helmet,6000,0.13321826407975645
helmet,6100,0.12971388150433685
helmet,6200,0.13276154783812155
helmet,6300,0.13174449895143284
helmet,6400,0.1231637186796218
helmet,6500,0.12341311923072337
helmet,6600,0.12680788184055683
helmet,6700,0.12497289089759374
helmet,6800,0.1262811458728256
helmet,6900,0.12241671479966072
helmet,7000,0.12048374780723531
helmet,7100,0.12154117482045394
helmet,7200,0.12086064661680612
helmet,7300,0.11869136701839345
helmet,7400,0.11729990337233154
helmet,7500,0.11751189136912572
helmet,7600,0.122258476650964
helmet,7700,0.11734891091370796
helmet,7800,0.11898178836315655
helmet,7900,0.11748986956991025
helmet,8000,0.11970153105054808
helmet,8100,0.11491435433236645
helmet,8200,0.11420773942006304
helmet,8300,0.11332484989748565
helmet,8400,0.1105185586775243
helmet,8500,0.10935319723985892
