Dataset,Human Samples,Relative Error
implicit_hate,100,0.33450501186509496
implicit_hate,200,0.22953361549377407
implicit_hate,300,0.19106080570681286
implicit_hate,400,0.16712396166707008
implicit_hate,500,0.14963033904633055
implicit_hate,600,0.1354296553523394
implicit_hate,700,0.12997163486988025
implicit_hate,800,0.11835282091996417
implicit_hate,900,0.10699288006822243
implicit_hate,1000,0.1025019132865424
implicit_hate,1100,0.09883787014416286
implicit_hate,1200,0.0952401862645076
implicit_hate,1300,0.09485556968715246
implicit_hate,1400,0.09087748319873541
implicit_hate,1500,0.0844004428666317
implicit_hate,1600,0.08472480401298967
implicit_hate,1700,0.07700079917150353
implicit_hate,1800,0.07906581638269204
implicit_hate,1900,0.07638598249959762
implicit_hate,2000,0.07376736867006534
implicit_hate,2100,0.07413141178238379
implicit_hate,2200,0.07212462896218746
implicit_hate,2300,0.06775114161102085
implicit_hate,2400,0.06679761998429184
implicit_hate,2500,0.0665740908581593
implicit_hate,2600,0.06607196990783094
implicit_hate,2700,0.06469104588711132
implicit_hate,2800,0.0626465566843286
implicit_hate,2900,0.06428149135919875
implicit_hate,3000,0.06107383834911585
implicit_hate,3100,0.05862696968260215
implicit_hate,3200,0.059071971854699146
implicit_hate,3300,0.05688155373400702
implicit_hate,3400,0.05834804420428594
implicit_hate,3500,0.05508430284351858
implicit_hate,3600,0.052861826327803084
implicit_hate,3700,0.055327207846843446
implicit_hate,3800,0.054378561495434824
implicit_hate,3900,0.05248910240323257
implicit_hate,4000,0.052285868797909155
implicit_hate,4100,0.05136983911161807
implicit_hate,4200,0.0512420712853801
implicit_hate,4300,0.05065201223601288
implicit_hate,4400,0.050685526688648605
implicit_hate,4500,0.04974798862680175
implicit_hate,4600,0.04991309629976223
implicit_hate,4700,0.048708161057401014
implicit_hate,4800,0.049408544547721575
implicit_hate,4900,0.04540572962681105
implicit_hate,5000,0.047636683493961184
implicit_hate,5100,0.04585445546299186
implicit_hate,5200,0.04587234999109536
implicit_hate,5300,0.044887804291738366
implicit_hate,5400,0.045237619192435956
implicit_hate,5500,0.045480035389568886
implicit_hate,5600,0.04390007224165137
implicit_hate,5700,0.044396336629507496
implicit_hate,5800,0.044423198915471585
implicit_hate,5900,0.0439922050739051
implicit_hate,6000,0.04386599026699543
implicit_hate,6100,0.04076047763912243
implicit_hate,6200,0.04275968916928328
implicit_hate,6300,0.04245229220759879
